hieroglyph,description,gardiner_sign

𓃒,bull,E1

𓃓,bull charging,E2

𓃔,calf,E3

𓃕,sacred cow,E4

𓃖,cow suckling calf,E5

𓃗,horse,E6

𓃘,donkey,E7

𓃙,kid,E8

𓃚,kid jumping,E8A

𓃛,newborn hartebeest,E9

𓃜,mature bovine lying down,E9A

𓃝,ram,E10

𓃞,ram,E11

𓃟,pig,E12

𓃠,cat,E13

𓃡,dog,E14

𓃢,lying canine,E15

𓃣,lying canine on shrine,E16

𓃤,lying canine on shrine with flagellum,E16A

𓃥,jackal,E17

𓃦,jackal looking back,E17A

𓃧,wolf on standard,E18

𓃨,wolf on standard with mace,E19

𓃩,Set-animal,E20

𓃪,Set-animal on basket,E20A

𓃫,lying Set-animal,E21

𓃬,lion,E22

𓃭,lying lion,E23

𓃮,panther,E24

𓃯,hippopotamus,E25

𓃰,elephant,E26

𓃱,giraffe,E27

𓃲,oryx,E28

𓃳,oryx with irrigation system,E28A

𓃴,gazelle,E29

𓃵,ibex,E30

𓃶,goat with collar,E31

𓃷,baboon,E32

𓃸,monkey,E33

𓃹,hare,E34

𓃺,hare (low),E34A

𓃻,baboon,E36

𓃼,baboon with receptacle and basket,E37

𓃽,long-horned bull,E38

